solicitation_number,title,buyer,source,url,deadline,questions_deadline,est_value,vertical,hook_requirement,page_ref,status,notes
RFP27006822,RIC Campus Shuttle Services,Rhode Island College / RI Division of Purchases,OSP Bid Board,https://webprocure.proactiscloud.com/wp-web-public/en/#/bidboard/search?customerid=46&oid=-1,2026-08-07,2026-07-22,"$480,000",Transportation,"Full OSP registration (incl. W-9 upload) required before award; questions cutoff 7/22 is in 5 days",verify in RFP,PROSPECTED,Pulled live 2026-07-17 from OSP API. bidid 144442. Deadline = bid opening 8/7.
RFQ26006772,RI Veterans Memorial Cemetery Irrigation Expansion,RI Division of Purchases (Veterans Services),OSP Bid Board,https://webprocure.proactiscloud.com/wp-web-public/en/#/bidboard/search?customerid=46&oid=-1,2026-08-11,2026-07-30,"$100,000 est",Landscaping/Irrigation,"Pre-bid meeting 07/21/2026 11:30 AM at RI Veterans Cemetery Admin Bldg, 301 South County Trail, Exeter — 2 business days away",posting (verify in RFQ),PROSPECTED,Pre-bid date is the urgent hook — email must land Fri/Mon.
RFQ27006835,RIDOT Power Infrastructure & Generator Installation - Allens Ave Facility,RIDOT / RI Division of Purchases,OSP Bid Board,https://webprocure.proactiscloud.com/wp-web-public/en/#/bidboard/search?customerid=46&oid=-1,2026-08-13,2026-08-03,"$150,000 est",Electrical/Generators,"Posting says a pre-bid site review meeting will be scheduled within 7-10 days — vendors who miss the addendum miss the meeting",posting (verify in RFQ),PROSPECTED,Watch for addendum announcing site visit date.
RFP27006832,DOIT - Managed Application Services,RI DOA / Enterprise Technology (ETSS),OSP Bid Board,https://webprocure.proactiscloud.com/wp-web-public/en/#/bidboard/search?customerid=46&oid=-1,2026-08-11,2026-07-27,"$10.5M est",IT/MSP,"Questions due 7/27; est value means primes will bid — angle for local MSPs is teaming/subcontracting and the mandatory forms",verify in RFP,PROSPECTED,Over our usual size band — outreach angle is sub/teaming readiness.
RFP27006808,DEM Reservation and Registration Management System,RI DEM / RI Division of Purchases,OSP Bid Board,https://webprocure.proactiscloud.com/wp-web-public/en/#/bidboard/search?customerid=46&oid=-1,2026-08-13,2026-07-21,unknown,Software/IT,"Addendum #1 already issued — bidders must acknowledge all addenda or be non-responsive; questions close 7/21 (2 business days)",addendum (verify in RFP),NEW,hasAddendums=true per OSP API.
RFP26006790,Occupational and Environmental Health Clinic Services,RI Dept of Labor and Training,OSP Bid Board,https://webprocure.proactiscloud.com/wp-web-public/en/#/bidboard/search?customerid=46&oid=-1,2026-08-06,2026-07-23,unknown,Healthcare/OccHealth,"Questions close 7/23 (4 business days); scope includes workplace evaluations + education programs, not just clinic visits",verify in RFP,PROSPECTED,Strong fit for local occ-health providers.
RFP27006831,DOC Onsite Vision and Optometry Services for the Incarcerated Population,RI Dept of Corrections,OSP Bid Board,https://webprocure.proactiscloud.com/wp-web-public/en/#/bidboard/search?customerid=46&oid=-1,2026-08-12,2026-07-28,"$207,000 est",Healthcare/Optometry,"Onsite delivery inside a correctional facility — security clearance and onsite equipment requirements are the usual trip-wires",verify in RFP,NEW,Niche vendor pool; map optometry practices week 2.
RFP26006796,DOA Auditing Services - Tobacco Settlement Financing Corporation,RI Dept of Administration,OSP Bid Board,https://webprocure.proactiscloud.com/wp-web-public/en/#/bidboard/search?customerid=46&oid=-1,2026-07-29,2026-07-15,"$37,500 est",CPA/Audit,"Questions period already closed 7/15 — bidders must work from the RFP + posted Q&A only; RI CPA practice permit required (standard for govt audits)",verify in RFP,PROSPECTED,12 days to deadline — tight but a small engagement CPA firms can turn fast.
406.00,RFQ Asset Management Program Support Services,Narragansett Bay Commission (NBWQDC),RIVIP External,https://purchasing.ri.gov/bidding/externalbidsearch.aspx,2026-07-28,unknown,unknown,Engineering/Consulting,"Buyer contact is jmotta@narrabay.com — quasi-public RFQs often bury insurance and MBE participation forms; 11 days out",verify in RFQ,NEW,Opens 7/28 4:00 PM. Tight timeline — only email vendors already in this space.
RFP-2614,Manufacturing Succession Readiness for Rhode Island Manufacturers,RI Commerce Corporation,RIVIP External,https://purchasing.ri.gov/bidding/externalbidsearch.aspx,2026-08-05,unknown,unknown,Consulting,"RI Commerce RFPs require submission by 11:59 PM electronic — format and page limits are the usual trip-wires",verify in RFP,NEW,Contact: Kara Kunst 401-278-9100. Same building as RI APEX — mention on Day 3 call.
B27000,Generator Service Contract,Town of Narragansett,RIVIP External,https://purchasing.ri.gov/bidding/externalbidsearch.aspx,2026-08-05,unknown,unknown,Electrical/Generators,"Municipal service contract — prevailing wage and insurance certificates are standard trip-wires; same vendor pool as RIDOT RFQ27006835 (two-for-one outreach)",verify in bid docs,PROSPECTED,Contact: Susan W. Gallagher 401-782-0644. Opens 8/5 11:00 AM.
27-01,Paratransit Eligibility Assessment,RI Public Transit Authority (RIPTA),RIVIP External,https://purchasing.ri.gov/bidding/externalbidsearch.aspx,2026-08-11,unknown,unknown,Healthcare/Assessment,"RIPTA is FTA-funded — DBE participation goals and federal clauses apply on top of state forms",verify in RFP,NEW,Contact: Sheryl Gomes 401-784-9500. Opens 8/11 1:00 PM.
PenTest26,Adversarial Assessment (Penetration Test),RI Student Loan Authority (RISLA),RIVIP External,https://purchasing.ri.gov/bidding/externalbidsearch.aspx,2026-08-14,unknown,unknown,Cybersecurity,"Financial-sector buyer — expect mandatory certifications (CISSP/OSCP-class), cyber liability insurance floor, and references from similar engagements",verify in RFP,PROSPECTED,Contact: RFP@risla.com 401-468-1700. Opens 8/14 2:00 PM.
